j = 28, k = 1, y1 = 1, y2 = 2, n_min = 46, n_max = 48, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 29, k = 1, y1 = 1, y2 = 0, n_min = 48, n_max = 49, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 29, k = 1, y1 = 2, y2 = 1, n_min = 48, n_max = 50, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 29, k = 0, y1 = 0, y2 = 2, n_min = 47, n_max = 49, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 30, k = 0, y1 = 0, y2 = 0, n_min = 50, n_max = 51, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 30, k = 0, y1 = 1, y2 = 1, n_min = 49, n_max = 51, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 30, k = 0, y1 = 2, y2 = 2, n_min = 49, n_max = 51, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 31, k = 2, y1 = 2, y2 = 0, n_min = 51, n_max = 53, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 31, k = 1, y1 = 0, y2 = 1, n_min = 51, n_max = 52, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 31, k = 1, y1 = 1, y2 = 2, n_min = 51, n_max = 53, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 32, k = 1, y1 = 1, y2 = 0, n_min = 53, n_max = 54, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 32, k = 1, y1 = 2, y2 = 1, n_min = 53, n_max = 55, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 32, k = 0, y1 = 0, y2 = 2, n_min = 52, n_max = 54, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 33, k = 0, y1 = 0, y2 = 0, n_min = 55, n_max = 56, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 33, k = 0, y1 = 1, y2 = 1, n_min = 54, n_max = 56, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 33, k = 0, y1 = 2, y2 = 2, n_min = 54, n_max = 56, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 34, k = 2, y1 = 2, y2 = 0, n_min = 56, n_max = 58, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 34, k = 1, y1 = 0, y2 = 1, n_min = 56, n_max = 57, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 34, k = 1, y1 = 1, y2 = 2, n_min = 56, n_max = 58, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 35, k = 1, y1 = 1, y2 = 0, n_min = 58, n_max = 59, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 35, k = 1, y1 = 2, y2 = 1, n_min = 58, n_max = 60, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 35, k = 0, y1 = 0, y2 = 2, n_min = 57, n_max = 59, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 36, k = 0, y1 = 0, y2 = 0, n_min = 60, n_max = 61, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 36, k = 0, y1 = 1, y2 = 1, n_min = 59, n_max = 61, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 36, k = 0, y1 = 2, y2 = 2, n_min = 59, n_max = 61, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 37, k = 2, y1 = 2, y2 = 0, n_min = 61, n_max = 63, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 37, k = 1, y1 = 0, y2 = 1, n_min = 61, n_max = 62, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 37, k = 1, y1 = 1, y2 = 2, n_min = 61, n_max = 63, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 38, k = 1, y1 = 1, y2 = 0, n_min = 63, n_max = 64, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 38, k = 1, y1 = 2, y2 = 1, n_min = 63, n_max = 65, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 38, k = 0, y1 = 0, y2 = 2, n_min = 62, n_max = 64, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 39, k = 0, y1 = 0, y2 = 0, n_min = 65, n_max = 66, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 39, k = 0, y1 = 1, y2 = 1, n_min = 64, n_max = 66, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 39, k = 0, y1 = 2, y2 = 2, n_min = 64, n_max = 66, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 40, k = 2, y1 = 2, y2 = 0, n_min = 66, n_max = 68, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 40, k = 1, y1 = 0, y2 = 1, n_min = 66, n_max = 67, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 40, k = 1, y1 = 1, y2 = 2, n_min = 66, n_max = 68, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 41, k = 1, y1 = 1, y2 = 0, n_min = 68, n_max = 69, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 41, k = 1, y1 = 2, y2 = 1, n_min = 68, n_max = 70, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 41, k = 0, y1 = 0, y2 = 2, n_min = 67, n_max = 69, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 42, k = 0, y1 = 0, y2 = 0, n_min = 70, n_max = 71, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 42, k = 0, y1 = 1, y2 = 1, n_min = 69, n_max = 71, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 42, k = 0, y1 = 2, y2 = 2, n_min = 69, n_max = 71, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 43, k = 2, y1 = 2, y2 = 0, n_min = 71, n_max = 73, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 43, k = 1, y1 = 0, y2 = 1, n_min = 71, n_max = 72, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 43, k = 1, y1 = 1, y2 = 2, n_min = 71, n_max = 73, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 44, k = 1, y1 = 1, y2 = 0, n_min = 73, n_max = 74, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 44, k = 1, y1 = 2, y2 = 1, n_min = 73, n_max = 75, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 44, k = 0, y1 = 0, y2 = 2, n_min = 72, n_max = 74, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 45, k = 0, y1 = 0, y2 = 0, n_min = 75, n_max = 76, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 45, k = 0, y1 = 1, y2 = 1, n_min = 74, n_max = 76, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 45, k = 0, y1 = 2, y2 = 2, n_min = 74, n_max = 76, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 46, k = 2, y1 = 2, y2 = 0, n_min = 76, n_max = 78, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 46, k = 1, y1 = 0, y2 = 1, n_min = 76, n_max = 77, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 46, k = 1, y1 = 1, y2 = 2, n_min = 76, n_max = 78, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 47, k = 1, y1 = 1, y2 = 0, n_min = 78, n_max = 79, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 47, k = 1, y1 = 2, y2 = 1, n_min = 78, n_max = 80, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 47, k = 0, y1 = 0, y2 = 2, n_min = 77, n_max = 79, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

j = 48, k = 0, y1 = 0, y2 = 0, n_min = 80, n_max = 81, y1 - y2 = 0, r = 0, rk = None, m1 = 0, m2=0
j = 48, k = 0, y1 = 1, y2 = 1, n_min = 79, n_max = 81, y1 - y2 = 0, r = 0, rk = None, m1 = 1, m2=1
j = 48, k = 0, y1 = 2, y2 = 2, n_min = 79, n_max = 81, y1 - y2 = 0, r = 0, rk = None, m1 = 2, m2=2

j = 49, k = 2, y1 = 2, y2 = 0, n_min = 81, n_max = 83, y1 - y2 = 2, r = 2, rk = 0, m1 = 1, m2=1
j = 49, k = 1, y1 = 0, y2 = 1, n_min = 81, n_max = 82, y1 - y2 = -1, r = 2, rk = 1, m1 = 2, m2=2
j = 49, k = 1, y1 = 1, y2 = 2, n_min = 81, n_max = 83, y1 - y2 = -1, r = 2, rk = 1, m1 = 0, m2=0

j = 50, k = 1, y1 = 1, y2 = 0, n_min = 83, n_max = 84, y1 - y2 = 1, r = 1, rk = 0, m1 = 2, m2=2
j = 50, k = 1, y1 = 2, y2 = 1, n_min = 83, n_max = 85, y1 - y2 = 1, r = 1, rk = 0, m1 = 0, m2=0
j = 50, k = 0, y1 = 0, y2 = 2, n_min = 82, n_max = 84, y1 - y2 = -2, r = 1, rk = 0, m1 = 1, m2=1

